# evidence-cmd: d=$(mktemp -d); cp -R plugins/webster "$d/w"; rm -rf "$d/w/.pytest_cache"; find "$d/w" -name __pycache__ -type d -prune -exec rm -rf {} + 2>/dev/null || true; git show 38fb601:plugins/webster/scripts/doctype.py > "$d/w/scripts/doctype.py"; echo "== this suite run against the doctype.py at 38fb601, the commit before this fix"; (cd "$d/w" && uvx pytest tests/test_doctype.py -p no:cacheprovider -q --no-header -rA 2>/dev/null) | grep -E "^(PASSED|FAILED) " | sed "s/ - .*//" | sort; rm -rf "$d"
# evidence-for: FR-011, AC-012, AC-039, FR-039, US-010
# evidence-timeout: 300

== this suite run against the doctype.py at 38fb601, the commit before this fix
FAILED tests/test_doctype.py::test_long_and_dotfile_extensions_are_not_routes
PASSED tests/test_doctype.py::test_acronym_initial_pascal_is_wrong_lens
PASSED tests/test_doctype.py::test_all_caps_with_a_digit_is_not_an_internal_symbol
PASSED tests/test_doctype.py::test_all_stub_tree_with_a_defect_exits_one
PASSED tests/test_doctype.py::test_api_and_cli_are_not_undefined_jargon
PASSED tests/test_doctype.py::test_empty_docs_tree_is_not_checked
PASSED tests/test_doctype.py::test_every_universal_acronym_is_reachable_by_the_acronym_regex
PASSED tests/test_doctype.py::test_flag_named_in_lens_allow_is_not_reported
PASSED tests/test_doctype.py::test_flags_are_wrong_lens_on_a_user_page
PASSED tests/test_doctype.py::test_header_line_counts_the_terms_the_survey_contributed
PASSED tests/test_doctype.py::test_malformed_survey_file_does_not_crash
PASSED tests/test_doctype.py::test_missing_survey_file_does_not_crash
PASSED tests/test_doctype.py::test_no_ident_allow_entry_is_all_caps
PASSED tests/test_doctype.py::test_one_written_page_among_stubs_exits_by_that_page
PASSED tests/test_doctype.py::test_operator_page_is_not_reported_for_a_route_or_a_flag
PASSED tests/test_doctype.py::test_operator_page_is_still_reported_for_a_symbol
PASSED tests/test_doctype.py::test_path_and_env_var_are_not_symbols
PASSED tests/test_doctype.py::test_path_with_a_file_extension_is_not_a_route
PASSED tests/test_doctype.py::test_plain_route_is_wrong_lens
PASSED tests/test_doctype.py::test_product_names_are_not_internal_symbols
PASSED tests/test_doctype.py::test_snake_case_symbol_is_wrong_lens
PASSED tests/test_doctype.py::test_stub_placeholder_prose_produces_no_other_finding
PASSED tests/test_doctype.py::test_stub_with_an_unknown_audience_or_type_is_reported
PASSED tests/test_doctype.py::test_stub_without_audience_is_reported
PASSED tests/test_doctype.py::test_survey_labels_extend_the_allowlist
PASSED tests/test_doctype.py::test_survey_screen_names_and_commands_extend_the_allowlist
PASSED tests/test_doctype.py::test_survey_screens_carry_a_term_a_page_can_write
PASSED tests/test_doctype.py::test_tree_of_only_stubs_exits_two_with_nothing_to_check
PASSED tests/test_doctype.py::test_versioned_standard_names_are_not_internal_symbols
PASSED tests/test_doctype.py::test_without_the_survey_the_same_label_is_reported
